uid,boston,location,resp_time
u00,2.0,Unknown,2013-05-30 05:14:48
u00,5.0,"43.75910573,-72.32818315",2013-06-03 03:04:49
u08,5.0,"43.70343829,-72.28645877",2013-04-25 21:55:49
u17,4.0,"43.7060191,-72.28758328",2013-04-26 16:04:06
u17,4.0,Unknown,2013-04-29 04:29:06
u33,4.0,"43.70479715,-72.29383713",2013-04-30 07:22:18
u35,4.0,"43.70696392,-72.28734398",2013-05-07 00:04:34
u36,1.0,"43.65191693,-72.31010354",2013-04-26 04:16:40
u39,1.0,"43.70691563,-72.28615388",2013-04-25 20:32:12
u42,1.0,Unknown,2013-05-08 00:17:20
u50,1.0,Unknown,2013-06-03 20:34:18
u58,1.0,"43.7057195,-72.28324992",2013-04-26 06:59:22
u59,1.0,"43.705437812022865,-72.29115846566856",2013-04-26 08:19:12
u59,5.0,"43.7067482387647,-72.28827140294015",2013-04-25 18:10:23
