uid,angry,apathetic,appreciative,disappointed,empathic,frustrated,location,proud,resp_time,saddened
u00,5.0,1.0,3.0,3.0,4.0,1.0,"43.75935618,-72.32895645",5.0,2013-04-27 14:47:19,3.0
u01,3.0,4.0,1.0,4.0,1.0,3.0,"43.70696672,-72.28895093",1.0,2013-04-27 08:09:53,2.0
u03,1.0,3.0,3.0,2.0,3.0,2.0,"43.70510594,-72.2829645",3.0,2013-04-28 06:32:56,1.0
u08,5.0,3.0,2.0,3.0,3.0,3.0,"43.70343829,-72.28645877",2.0,2013-04-25 21:55:50,3.0
u08,3.0,2.0,3.0,1.0,4.0,3.0,"43.7049437,-72.28880281",5.0,2013-05-07 03:51:51,2.0
u10,1.0,1.0,1.0,1.0,1.0,1.0,"43.70332121,-72.28983937",1.0,2013-04-25 16:34:57,1.0
u16,1.0,2.0,3.0,1.0,1.0,2.0,"43.70381392,-72.29084126",4.0,2013-04-26 04:02:26,1.0
u17,1.0,1.0,3.0,2.0,4.0,1.0,"43.7060191,-72.28758328",3.0,2013-04-26 16:05:45,1.0
u17,1.0,1.0,3.0,1.0,3.0,1.0,Unknown,1.0,2013-04-29 04:31:05,1.0
u18,3.0,1.0,1.0,3.0,2.0,3.0,"42.40121326,-71.0068189",1.0,2013-04-27 20:14:32,3.0
u19,2.0,3.0,1.0,3.0,1.0,3.0,"43.70266582,-72.28974151",3.0,2013-04-26 05:54:42,1.0
u27,1.0,1.0,1.0,1.0,1.0,1.0,"43.70552478,-72.28974476",1.0,2013-04-27 08:59:45,1.0
u32,3.0,2.0,4.0,3.0,3.0,2.0,"43.71796947,-72.27247143",3.0,2013-04-27 06:50:02,4.0
u36,3.0,3.0,3.0,3.0,3.0,3.0,"43.70659693,-72.2871206",3.0,2013-04-27 06:34:04,3.0
u36,3.0,3.0,3.0,3.0,3.0,3.0,"43.70667592,-72.28706497",3.0,2013-04-28 20:52:54,3.0
u39,1.0,1.0,1.0,1.0,1.0,1.0,"43.70691563,-72.28615388",1.0,2013-04-25 20:32:13,1.0
u42,1.0,1.0,3.0,1.0,3.0,1.0,"43.68142273,-72.27279919",3.0,2013-05-08 19:55:11,1.0
u45,3.0,3.0,3.0,2.0,2.0,3.0,"43.71770246,-72.30692146",3.0,2013-04-28 20:19:47,4.0
u51,1.0,1.0,1.0,1.0,1.0,1.0,"43.70210845,-72.28762862",1.0,2013-04-27 09:45:57,1.0
u53,1.0,3.0,1.0,1.0,1.0,1.0,"43.70552098,-72.28315057",1.0,2013-04-27 06:40:46,1.0
u53,1.0,4.0,1.0,1.0,1.0,1.0,"43.70552107,-72.28302983",1.0,2013-04-28 08:07:41,1.0
u54,1.0,2.0,2.0,1.0,2.0,1.0,"43.70534822,-72.28930385",2.0,2013-04-28 20:22:41,1.0
u54,1.0,4.0,1.0,1.0,1.0,1.0,"43.70387177,-72.29581497",1.0,2013-04-29 20:30:02,1.0
u57,3.0,2.0,4.0,3.0,3.0,2.0,"43.70707811,-72.28895256",3.0,2013-04-25 18:29:46,3.0
u58,1.0,1.0,2.0,3.0,3.0,1.0,"43.70597832,-72.28322295",4.0,2013-04-27 06:58:41,1.0
u59,2.0,1.0,4.0,2.0,3.0,1.0,"43.70654187630862,-72.28849385865033",4.0,2013-04-25 18:10:02,2.0
u59,2.0,3.0,5.0,2.0,3.0,1.0,Unknown,4.0,2013-04-28 01:38:11,2.0
