uid,meaning,resp_time
u00,a nice break from the grinned,2013-05-19 23:35:49
u00,party,2013-05-19 19:56:50
u00,fun and happiness.,2013-05-21 21:47:22
u00,,2013-05-22 22:18:05
u00,,2013-05-23 21:15:14
u08,relaxing,2013-05-19 22:37:59
u16,a weekend of partying and music,2013-05-18 19:12:46
u16,time to do more work,2013-05-21 02:48:00
u16,working,2013-05-22 21:46:52
u17,madness and thesis,2013-05-20 23:01:12
u17,absolute madness,2013-05-22 22:44:08
u17,,2013-05-23 22:03:26
u19,alumni,2013-05-20 08:29:00
u19,drunk people everywhere,2013-05-20 23:39:04
u19,sun,2013-05-23 22:00:23
u24,party,2013-05-18 23:49:38
u32,nice weather and no work,2013-05-20 21:00:09
u33,loneliness,2013-05-18 23:06:41
u33,go away,2013-05-21 20:59:00
u36,no idea,2013-05-20 23:28:59
u36,nothing,2013-05-22 22:55:11
u47,I don't know.,2013-05-22 21:36:58
u49,parties,2013-05-18 19:43:35
u49,having fun,2013-05-18 23:02:06
u49,celebration,2013-05-20 23:31:05
u51,nothing,2013-05-20 23:18:42
u53,undergrads drinking,2013-05-20 23:42:02
u56,partying,2013-05-20 23:48:37
u57,A weekend of fun and debauchery,2013-05-20 23:02:35
u58,nothing,2013-05-20 23:49:25
u58,nothing,2013-05-21 22:21:06
u59,catching up on homework,2013-05-19 01:17:41
